id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
1772222888.6351435,Rules,Ki67,8.686311944622567e-07,4.3431559723112834e-05,0.0,,,,,,,
1772222888.6368332,Transformer,Ki67,9.073166816102772e-05,0.004536583408051386,0.0,,,,,,,
1772222888.6390812,Rules,ER,1.0812807336456716e-06,5.406403668228358e-05,0.0,,,,,,,
1772222888.641081,Transformer,ER,9.769406744261e-05,0.0048847033721305,0.0,,,,,,,
1772222888.663252,Rules,Gene,1.0772300141466543e-06,5.3861500707332724e-05,0.0,,,,,,,
1772222889.3077123,Rules,Gene,9.190584413288042e-07,4.595292206644021e-05,0.0,,,,,,,
1772222889.311599,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222889.313596,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222957.845116,Rules,Estrogen_receptor,9.559216627336038e-07,4.779608313668019e-05,0.0,,,,,,,
1772222957.8529215,Transformer,Ki67,8.29181162222575e-05,0.004145905811112875,0.0,,,,,,,
1772222957.8570611,Rules,Estrogen_receptor,1.0260165626433685e-06,5.1300828132168424e-05,0.0,,,,,,,
1772222957.8570611,Transformer,Ki67,8.057096374312556e-05,0.004028548187156278,0.0,,,,,,,
1772222957.8570611,Rules,Estrogen_receptor,1.1053570146287868e-06,5.526785073143934e-05,0.0,,,,,,,
1772222957.8570611,Transformer,Ki67,0.0001181524276275,0.005907621381379429,0.0,,,,,,,
1772222957.8800054,Rules,Gene,1.0948374514012186e-06,5.4741872570060934e-05,0.0,,,,,,,
1772222957.8880491,ML_CRF,Tumor,0.0005,0.25,0.0,,,,,,,
1772222957.8920748,Rules,Gene,1.099309964070632e-06,5.4965498203531604e-05,0.0,,,,,,,
1772222957.8960936,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772222957.8981035,ML,Gene,0.002,1.0,200.0,,,,,,,
1772222957.9119158,Rules,HER2,1.0482384297285442e-06,5.241192148642721e-05,0.0,,,,,,,
1772222957.9139285,Rules,Ki67,9.251904821452808e-07,4.6259524107264036e-05,0.0,,,,,,,
1772222957.917956,Transformer,Ki67,8.234870404468879e-05,0.004117435202234439,0.0,,,,,,,
1772222957.9197128,Rules,ER,1.0141882489646997e-06,5.0709412448234974e-05,0.0,,,,,,,
1772222957.9197128,Transformer,ER,9.721121672995178e-05,0.004860560836497589,0.0,,,,,,,
9a6e4400-f544-46db-bb82-380b6d8db01e,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 21:10:20,19.302971124649048,2.8531772743644978e-06,1.9267506133783454e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
0520a5e2-6ab5-424e-abeb-8b7801b02247,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 21:12:08,14.094815969467165,1.3324734543631349e-06,8.99819323731425e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
756be3ee-c032-404d-9457-dc7cc7ffc7f4,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 21:17:21,14.128861665725708,1.1703228588147618e-06,7.903190265576088e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
69303e0c-2459-4511-832e-b4756907c464,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 21:23:26,15.060937881469728,1.2069887865162624e-06,8.150795275344322e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
7ce99fc2-0071-441f-bdf2-cc011892109b,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 21:26:45,17.91132354736328,1.8753961059767565e-06,1.2664549903661037e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
2ef48991-6526-4c00-aeb0-41d6f2d8e15b,Consumtion_of_generate_risk_context_report.py,We Calculate...,,2026-02-27 21:28:48,14.468817234039308,1.3631636361676786e-06,9.205444035040336e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
eeacba23-8648-40c4-878e-7aa880af4259,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 21:30:17,18.377172470092773,1.4064669665475533e-06,9.497871425095629e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
